type,name,amount,rate,duration,category,fixed_float,float_share,repricing_bucket,deposit_beta,stability,convexity
asset,Loan 1,404410.34,0.0742,77,LOANS,fixed,0.0,6-12m,,,
asset,Loan 2,2668690.06,0.0727,12,LOANS,fixed,0.0,1-3y,,,
asset,Loan 3,3528036.52,0.0779,12,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 4,4577528.84,0.0183,49,AFS,fixed,0.0,1-3y,,,0.4432
asset,Loan 5,1186701.23,0.0499,28,LOANS,fixed,0.0,<1m,,,
asset,Loan 6,3430931.05,0.0423,17,LOANS,fixed,0.0,1-3y,,,
asset,Loan 7,1880921.06,0.0553,47,LOANS,fixed,0.0,6-12m,,,
asset,Loan 8,1249982.83,0.0808,10,LOANS,fixed,0.0,5+y,,,
asset,Loan 9,303822.86,0.0699,9,LOANS,fixed,0.0,<1m,,,
asset,Loan 10,3078722.39,0.0785,16,LOANS,fixed,0.0,3-5y,,,
asset,Loan 11,3821736.89,0.0359,83,LOANS,float,0.24,<1m,,,
asset,Mortgage 12,5942014.53,0.0356,318,LOANS,fixed,0.0,3-5y,,,
asset,Loan 13,1310124.13,0.0396,82,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 14,3383891.69,0.0446,137,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 15,2667328.96,0.043,46,AFS,fixed,0.0,6-12m,,,0.0465
asset,Loan 16,2127146.01,0.058,82,LOANS,fixed,0.0,<1m,,,
asset,Loan 17,1192884.13,0.0447,17,LOANS,float,0.65,3-6m,,,
asset,Mortgage 18,2375396.57,0.0275,180,LOANS,float,0.59,6-12m,,,
asset,Loan 19,1223755.27,0.0437,12,LOANS,float,0.46,3-6m,,,
asset,Loan 20,846895.52,0.0646,76,LOANS,fixed,0.0,3-5y,,,
asset,Loan 21,1985123.05,0.0544,58,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 22,4686967.8,0.0428,73,AFS,fixed,0.0,1-3m,,,-0.2595
asset,Loan 23,430704.71,0.0781,56,LOANS,fixed,0.0,3-6m,,,
asset,AFS Bond 24,1431983.42,0.04,39,AFS,fixed,0.0,3-5y,,,0.2069
asset,Mortgage 25,5810760.24,0.0522,187,LOANS,float,0.55,1-3y,,,
asset,Loan 26,2929089.32,0.0413,57,LOANS,fixed,0.0,3-6m,,,
asset,Loan 27,2757399.21,0.0385,43,LOANS,float,0.63,3-5y,,,
asset,Loan 28,2371397.63,0.0702,26,LOANS,float,0.49,<1m,,,
asset,Loan 29,1795238.91,0.073,73,LOANS,float,0.71,6-12m,,,
asset,Loan 30,1376423.13,0.0767,65,LOANS,fixed,0.0,5+y,,,
asset,Loan 31,1682699.55,0.0867,53,LOANS,float,0.31,5+y,,,
asset,Loan 32,3519174.4,0.0412,53,LOANS,fixed,0.0,3-6m,,,
asset,Loan 33,910430.19,0.0415,16,LOANS,fixed,0.0,6-12m,,,
asset,Loan 34,1762528.18,0.0468,73,LOANS,float,0.56,1-3y,,,
asset,AFS Bond 35,668689.92,0.0252,53,AFS,fixed,0.0,1-3m,,,0.0054
asset,Mortgage 36,3504849.16,0.0289,128,LOANS,float,0.43,6-12m,,,
asset,Mortgage 37,4485952.88,0.0537,89,LOANS,float,0.23,5+y,,,
asset,Loan 38,977631.52,0.043,73,LOANS,float,0.34,3-6m,,,
asset,Mortgage 39,5417401.24,0.0261,132,LOANS,fixed,0.0,5+y,,,
