type,name,amount,rate,duration,category,fixed_float,float_share,repricing_bucket,deposit_beta,stability,convexity
asset,Loan 1,3773381.95,0.0706,84,LOANS,fixed,0.0,1-3y,,,
asset,Loan 2,2282161.41,0.03,80,LOANS,float,0.35,1-3y,,,
asset,Mortgage 3,3324940.95,0.0421,321,LOANS,fixed,0.0,6-12m,,,
asset,AFS Bond 4,7698740.03,0.0481,42,AFS,fixed,0.0,1-3y,,,-0.3361
asset,Mortgage 5,4096304.03,0.0247,218,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 6,1605154.72,0.0171,15,AFS,float,0.73,6-12m,,,0.4317
asset,Loan 7,2593108.45,0.0417,37,LOANS,float,0.55,1-3m,,,
asset,Mortgage 8,1027724.09,0.0575,277,LOANS,fixed,0.0,1-3m,,,
asset,Loan 9,3840270.96,0.0611,77,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 10,1410189.49,0.021,77,AFS,float,0.77,1-3y,,,0.0423
asset,Loan 11,3069950.05,0.0566,76,LOANS,float,0.78,6-12m,,,
asset,AFS Bond 12,6077415.82,0.0364,41,AFS,float,0.83,5+y,,,-0.4314
asset,AFS Bond 13,4134477.63,0.0258,42,AFS,float,0.35,1-3m,,,
asset,Loan 14,1414896.36,0.0624,25,LOANS,fixed,0.0,1-3m,,,
asset,Loan 15,780660.01,0.0428,75,LOANS,float,0.49,6-12m,,,
asset,Loan 16,985970.68,0.0552,79,LOANS,fixed,0.0,6-12m,,,
asset,Loan 17,3782418.3,0.0479,59,LOANS,float,0.8,1-3y,,,
asset,Mortgage 18,3730661.55,0.0502,309,LOANS,fixed,0.0,1-3m,,,
asset,Loan 19,2045439.58,0.0533,65,LOANS,float,0.71,1-3m,,,
asset,Cash,1381896.71,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 21,4939195.82,0.0448,60,AFS,fixed,0.0,1-3m,,,
asset,AFS Bond 22,1862967.7,0.0267,47,AFS,float,0.45,3-6m,,,
asset,AFS Bond 23,3343446.62,0.0488,16,AFS,float,0.48,6-12m,,,-0.2604
asset,Loan 24,2249792.38,0.09,14,LOANS,float,0.36,5+y,,,
asset,Cash,196619.53,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 26,1139676.55,0.0804,36,LOANS,fixed,0.0,1-3m,,,
asset,Loan 27,634679.9,0.0869,53,LOANS,float,0.69,1-3m,,,
asset,Mortgage 28,5818673.72,0.0559,219,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 29,5644435.84,0.0488,161,LOANS,float,0.48,<1m,,,
asset,Mortgage 30,5152858.17,0.0321,121,LOANS,float,0.8,5+y,,,
asset,Cash,1978324.83,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 32,1827836.45,0.0522,59,LOANS,float,0.21,5+y,,,
asset,Loan 33,1847388.93,0.0517,61,LOANS,float,0.7,1-3m,,,
asset,Mortgage 34,5827368.66,0.0335,197,LOANS,float,0.53,3-6m,,,
asset,AFS Bond 35,6730482.64,0.0189,65,AFS,float,0.47,1-3y,,,
asset,Mortgage 36,2894946.52,0.0214,168,LOANS,float,0.33,3-6m,,,
asset,AFS Bond 37,3052541.32,0.0546,72,AFS,float,0.69,1-3m,,,
asset,Loan 38,2936283.72,0.0593,66,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 39,3240872.75,0.0209,184,LOANS,float,0.36,3-6m,,,
asset,Mortgage 40,2845102.25,0.0477,341,LOANS,float,0.5,3-6m,,,
